,undp_hdi,cname,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
44,0.773,Cuba,CUB,2,5899.9399,NaN,NaN,4.369999900000001,36.099998,11.05880069732666
119,NaN,Nauru,NRU,9,3130.47,0.0120000001043081,NaN,NaN,48.900002,3.32664942741394
64,0.92400002,Germany,DEU,5,39486.699,80.98300170898438,3.4000000953674316,11.03,30.700001,11.297000885009771
78,0.77399999,Iran,IRN,3,12889.28,75.1500015258789,15.100000381469732,0.029999999,11.7,6.8949222564697275
34,0.39399999,Chad,TCD,4,1651.05,NaN,89.4000015258789,0.63999999,NaN,3.6211643218994136
136,0.67900002,Philippines,PHL,7,3953.1001,100.1490020751953,23.5,4.52,26.700001,4.709985256195068
40,0.58999997,Congo,COG,4,2369.8401,NaN,NaN,3.8199998999999996,18.5,5.151411533355713
173,0.71799999,Tonga,TON,9,3962.0601,0.1040000021457672,NaN,0.95999998,30.200001,5.1767706871032715
53,0.58200002,Equatorial Guinea,GNQ,4,15412.43,NaN,NaN,10.72,NaN,3.8040790557861333
50,0.71799999,Dominican Republic,DOM,2,10376.63,NaN,22.79999923706055,5.920000099999999,14.5,4.375777721405028
179,NaN,Tuvalu,TUV,9,3174.05,0.0109999999403954,NaN,1.34,NaN,16.5366382598877
128,0.63700002,Micronesia,FSM,9,2624.05,0.1019999980926514,NaN,1.58,NaN,13.7069149017334
181,0.74800003,Ukraine,UKR,1,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
6,0.75800002,Azerbaijan,AZE,1,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367
180,0.48800001,Uganda,UGA,4,1343.45,37.599998474121094,45.400001525878906,10.22,10.3,7.222136974334718
61,0.69400001,Gabon,GAB,4,14525.28,NaN,42.400001525878906,8.8599997,NaN,3.437471628189087
84,0.72899997,Jamaica,JAM,10,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918
38,0.72399998,Colombia,COL,2,8761.1396,47.6619987487793,15.100000381469732,4.380000099999999,11.6,7.201298713684082
95,0.495,Lesotho,LSO,4,1539.79,NaN,74.19999694824219,2.3900001,25.4,10.61767673492432
127,0.94800001,Norway,NOR,5,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
55,0.41800001,Eritrea,ERI,4,1007.28,NaN,NaN,0.62,NaN,3.338293075561523
81,0.898,Israel,ISR,3,25926.25,8.211999893188478,3.2999999523162837,2.6199999,30.4,7.808308124542236
133,0.51499999,Papua New Guinea,PNG,9,1693.54,6.880000114440918,NaN,0.88,NaN,4.263570785522462
8,0.93699998,Australia,AUS,5,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745117
26,0.40599999,Burundi,BDI,4,663.5700099999999,NaN,66.9000015258789,4.1599998,NaN,7.535565376281737
39,0.498,Comoros,COM,4,972.35999,0.7760000228881836,NaN,0.12,15.3,6.747642993927003
189,0.69700003,Uzbekistan,UZB,1,7370.7202,29.74600028991699,NaN,2.8299999,13.3,5.838521957397461
87,0.741,Jordan,JOR,3,5188.9199,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128
161,0.50700003,Zimbabwe,ZWE,4,15997.67,12.45899963378906,55.70000076293945,6.5,NaN,6.439471244812013
51,0.73900002,Ecuador,ECU,2,7259.52,15.774999618530268,19.10000038146973,3.8199998999999996,9.0,9.161087989807127
1,0.76200002,Albania,ALB,1,8516.7002,NaN,15.0,4.5100002,29.700001,5.883105278015138
41,0.42500001,"Congo, Democratic Republic",COD,4,324.16,NaN,74.5,1.8200001000000001,NaN,4.328233718872069
31,0.64600003,Cape Verde,CPV,4,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
49,0.72399998,Dominica,DMA,10,12613.72,NaN,NaN,5.46,NaN,5.485832691192627
97,0.42699999,Liberia,LBR,4,488.26999000000006,NaN,53.599998474121094,3.72,14.2,10.036333084106449
155,0.92400002,Singapore,SGP,7,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
134,0.69199997,Paraguay,PRY,2,4812.9199,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756
121,0.92299998,Netherlands,NLD,5,42258.352,16.86499977111816,3.4000000953674316,8.680000300000001,25.700001,10.89729309082031
139,0.42100000000000004,Guinea-Bissau,GNB,4,961.26001,NaN,NaN,3.5699998999999996,NaN,5.593137264251709
185,0.51899999,Tanzania,TZA,4,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
122,0.59799999,Vanuatu,VUT,9,2877.01,0.2569999992847443,NaN,0.85000002,NaN,5.023574829101563
112,0.73299998,Mongolia,MNG,6,6277.8999,2.881999969482422,23.0,NaN,26.799999,4.730341911315918
20,0.75400001,Brazil,BRA,2,9815.2402,202.7689971923828,12.899999618530268,7.320000200000001,16.1,8.322834014892576
149,0.565,Sao Tome and Principe,STP,4,2150.55,NaN,NaN,5.6900001,NaN,8.353466033935549
140,0.60299999,Timor-Leste,TLS,7,1957.8101,1.146000027656555,47.79999923706055,0.5,NaN,1.4753034114837649
17,0.6709999999999999,Bolivia,BOL,2,4023.8701,10.07800006866455,32.799999237060554,3.6199999,NaN,6.334827423095702
73,0.62300003,Honduras,HND,2,3303.1399,NaN,19.39999961853027,2.8699999,18.9,8.72268009185791
172,0.484,Togo,TGO,4,1036.28,6.928999900817871,NaN,1.4400001,NaN,5.2468767166137695
100,0.84600002,Lithuania,LTU,1,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880128
16,0.60399997,Bhutan,BTN,8,5639.02,0.765999972820282,35.70000076293945,0.23,NaN,3.573014736175537
35,0.84500003,Chile,CHL,2,15519.08,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718
113,0.70099998,Moldova,MDA,1,4207.8701,3.5550000667572017,15.100000381469732,9.989999800000001,23.799999,10.32365608215332
45,0.85399997,Cyprus (1975-),CYP,3,27207.07,0.8579999804496765,2.5,9.04,NaN,7.367611408233643
36,0.73400003,China,CHN,6,9283.3799,NaN,12.100000381469732,5.7800002,25.9,5.548227787017822
170,0.625,Tajikistan,TJK,1,3592.6499,8.131999969482424,49.0,0.31999999,NaN,6.8808841705322275
66,0.58600003,Kiribati,KIR,9,1532.65,0.1070000007748604,NaN,0.52999997,54.0,10.21295070648193
58,0.89300001,Finland,FIN,5,36958.211,5.427000045776367,2.4000000953674316,8.8000002,21.799999,9.679908752441406
89,NaN,"Korea, North",PRK,6,1727.8199,NaN,NaN,3.3499999,NaN,NaN
15,0.89499998,Belgium,BEL,5,33764.711,11.18099975585938,3.4000000953674316,12.6,23.9,10.59475135803223
162,0.88200003,Spain,ESP,5,31086.35,46.45500183105469,3.7999999523162837,9.25,30.299999,9.029886245727539
111,NaN,Monaco,MCO,5,108481.13,NaN,NaN,NaN,NaN,4.337683200836182
0,0.479,Afghanistan,AFG,8,1282.64,29.82500076293945,NaN,0.0099999998,NaN,8.182273864746094
60,0.47,Djibouti,DJI,4,2685.5,NaN,NaN,0.38,NaN,10.56825637817383
83,0.46599999,Cote d'Ivoire,CIV,4,1354.29,22.52400016784668,76.19999694824219,3.1500001,NaN,5.716273784637451
11,0.82300001,Bahrain,BHR,3,22498.48,1.26800000667572,8.199999809265138,1.5700001000000001,30.299999,4.980796337127686
138,0.84100002,Portugal,PRT,5,23744.631,10.40100002288818,2.9000000953674316,9.880000099999998,22.6,9.501075744628906
146,0.73500001,St Lucia,LCA,10,11095.8,0.1669999957084656,NaN,9.9700003,NaN,6.719041347503662
157,0.67799997,Vietnam,VNM,7,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.0667781829833975
175,0.83600003,United Arab Emirates,ARE,3,20310.109,NaN,7.199999809265138,1.91,NaN,3.643985748291016
3,0.85699999,Andorra,AND,5,32367.33,NaN,NaN,9.9799995,33.099998,8.127135276794434
21,0.70599997,Belize,BLZ,10,6649.1401,0.3499999940395355,15.699999809265142,6.579999900000001,NaN,5.788949966430664
80,0.92000002,Ireland,IRL,5,46422.07,4.620999813079834,3.4000000953674316,10.75,23.200001,7.783196449279785
93,0.58200002,Laos,LAO,7,2926.77,6.8979997634887695,54.0,5.3899999,34.0,1.8655455112457282
67,0.86500001,Greece,GRC,5,25295.27,10.927000045776369,4.099999904632568,7.530000200000001,43.400002,8.084266662597656
117,0.79500002,Oman,OMN,3,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
152,0.77499998,Serbia,SRB,1,11343.92,7.166999816894531,5.699999809265138,9.090000199999999,42.099998,10.36881160736084
109,0.77899998,Mauritius,MUS,4,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457
174,0.77899998,Trinidad and Tobago,TTO,10,22089.16,1.353999972343445,18.39999961853027,6.940000099999999,NaN,5.933197021484375
74,0.83399999,Hungary,HUN,1,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675
135,0.73699999,Peru,PER,2,9227.1504,30.80900001525879,14.100000381469732,5.380000099999999,NaN,5.473034858703613
77,0.68599999,Indonesia,IDN,7,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438
18,0.74699998,Bosnia and Herzegovina,BIH,1,8507.6504,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102
25,0.55199999,Myanmar,MMR,7,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288
165,0.72299999,Suriname,SUR,10,6049.1499,0.546999990940094,18.5,6.3200002,NaN,5.687469959259032
106,0.43799999,Mali,MLI,4,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121
56,0.86299998,Estonia,EST,1,19768.039,1.315999984741211,2.9000000953674316,NaN,33.200001,6.379294395446777
116,0.414,Mozambique,MOZ,4,852.39001,25.73299980163574,63.099998474121094,1.16,18.799999,6.975581645965576
86,0.79299998,Kazakhstan,KAZ,1,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306
57,0.73400003,Fiji,FJI,9,3848.72,0.8799999952316284,NaN,NaN,26.5,4.487498760223389
192,0.49900001,Yemen,YEM,3,2170.9299,NaN,46.29999923706055,0.039999999,NaN,5.636990070343018
52,0.67799997,El Salvador,SLV,2,332.26999,NaN,13.600000381469732,2.52,NaN,6.772402763366699
151,0.491,Senegal,SEN,4,1527.99,NaN,45.20000076293945,0.25999999,11.1,4.664971828460693
143,0.80500001,Russia,RUS,1,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
150,0.84500003,Saudi Arabia,SAU,3,20872.711,30.770000457763672,7.4000000953674325,0.09000000400000001,17.1,4.684084892272949
98,0.71899998,Libya,LBY,3,4102.8398,6.265999794006348,13.199999809265142,0.0,NaN,4.968935012817383
108,0.51300001,Mauritania,MRT,4,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
159,NaN,Somalia,SOM,4,1436.74,NaN,NaN,0.0,NaN,NaN
